id,Couleur,Famille de Genre,Sous-genres
1,bleu,Pop / Variété,"Pop 80s, Variété Française, K-Pop, Pop Internationale"
2,violet,Rock,"Rock 'n' Roll, Hard Rock, Grunge, Punk, New Wave, Pop-Rock"
3,vert,Urbain,"Rap, R&B, Reggae, Dancehall, Hip-Hop"
4,orange,Électronique,"French Touch, Techno, EDM, Synth-pop, Eurodance, House"
5,rose,Groove & Monde,"Soul, Funk, Jazz, Gospel, Blues, Reggaeton, Salsa, Afrobeat, Rai, Disco, Latino"
