Date_Ajout,Date_Sortie,Titre,Artiste,Genre,Difficulté,preview_url,artwork_url
2026-01-12,1963-02-20,L'École est finie,Sheila,1,Moyen,./fichiers_audio/347_LÉcole_est_finie_Sheila.m4a,./pochettes/347_LÉcole_est_finie_Sheila.jpg
2026-01-12,1973-02-16,Les Gondoles à Venise,Sheila & Ringo,1,Moyen,./fichiers_audio/348_Les_Gondoles_à_Venise_Sheila__Ringo.m4a,./pochettes/348_Les_Gondoles_à_Venise_Sheila__Ringo.jpg
2026-01-12,2014-03-17,Chandelier,Sia,1,Facile,./fichiers_audio/349_Chandelier_Sia.m4a,./pochettes/349_Chandelier_Sia.jpg
2026-01-12,2015-12-17,Cheap Thrills,Sia,1,Facile,./fichiers_audio/350_Cheap_Thrills_Sia.m4a,./pochettes/350_Cheap_Thrills_Sia.jpg
2026-01-12,1964-10-19,Sound of Silence,Simon & Garfunkel,1,Facile,./fichiers_audio/351_Sound_of_Silence_Simon__Garfunkel.m4a,./pochettes/351_Sound_of_Silence_Simon__Garfunkel.jpg
2026-01-12,1968-04-05,Mrs. Robinson,Simon & Garfunkel,2,Moyen,./fichiers_audio/352_Mrs_Robinson_Simon__Garfunkel.m4a,./pochettes/352_Mrs_Robinson_Simon__Garfunkel.jpg
2026-01-12,1970-01-26,Bridge Over Troubled Water,Simon & Garfunkel,1,Moyen,./fichiers_audio/353_Bridge_Over_Troubled_Water_Simon__Garfunkel.m4a,./pochettes/353_Bridge_Over_Troubled_Water_Simon__Garfunkel.jpg
2026-01-12,1990-01-08,Nothing Compares 2 U,Sinéad O'Connor,1,Moyen,./fichiers_audio/354_Nothing_Compares_2_U_Sinéad_OConnor.m4a,./pochettes/354_Nothing_Compares_2_U_Sinéad_OConnor.jpg
2026-01-12,1999-05-04,All Star,Smash Mouth,2,Moyen,./fichiers_audio/355_All_Star_Smash_Mouth.m4a,./pochettes/355_All_Star_Smash_Mouth.jpg
2026-01-12,1992-03-24,Rhythm Is a Dancer,Snap!,4,Moyen,./fichiers_audio/356_Rhythm_Is_a_Dancer_Snap.m4a,./pochettes/356_Rhythm_Is_a_Dancer_Snap.jpg
2026-01-12,2004-09-27,Drop It Like It's Hot,Snoop Dogg,3,Difficile,./fichiers_audio/357_Drop_It_Like_Its_Hot_Snoop_Dogg.m4a,./pochettes/357_Drop_It_Like_Its_Hot_Snoop_Dogg.jpg
2026-01-12,2022-02-23,Suavemente,Soolking,3,Moyen,./fichiers_audio/358_Suavemente_Soolking.m4a,./pochettes/358_Suavemente_Soolking.jpg
2026-01-12,1996-06-26,Wannabe,Spice Girls,1,Facile,./fichiers_audio/359_Wannabe_Spice_Girls.m4a,./pochettes/359_Wannabe_Spice_Girls.jpg
2026-01-12,1986-02-25,Ouragan,Stéphanie de Monaco,1,Facile,./fichiers_audio/360_Ouragan_Stéphanie_de_Monaco.m4a,./pochettes/360_Ouragan_Stéphanie_de_Monaco.jpg
2026-01-12,1968-01-29,Born to Be Wild,Steppenwolf,2,Moyen,./fichiers_audio/361_Born_to_Be_Wild_Steppenwolf.m4a,./pochettes/361_Born_to_Be_Wild_Steppenwolf.jpg
2026-01-12,1972-10-24,Superstition,Stevie Wonder,5,Facile,./fichiers_audio/362_Superstition_Stevie_Wonder.m4a,./pochettes/362_Superstition_Stevie_Wonder.jpg
2026-01-12,1985-08-24,Part-Time Lover,Stevie Wonder,1,Facile,./fichiers_audio/363_Part-Time_Lover_Stevie_Wonder.m4a,./pochettes/363_Part-Time_Lover_Stevie_Wonder.jpg
2026-01-12,2009-09-26,Alors on danse,Stromae,4,Facile,./fichiers_audio/364_Alors_on_danse_Stromae.m4a,./pochettes/364_Alors_on_danse_Stromae.jpg
2026-01-12,2013-05-13,Papaoutai,Stromae,4,Facile,./fichiers_audio/365_Papaoutai_Stromae.m4a,./pochettes/365_Papaoutai_Stromae.jpg
2026-01-12,2013-05-27,Formidable,Stromae,1,Facile,./fichiers_audio/366_Formidable_Stromae.m4a,./pochettes/366_Formidable_Stromae.jpg
2026-01-12,1982-06-08,Eye of the Tiger,Survivor,2,Facile,./fichiers_audio/367_Eye_of_the_Tiger_Survivor.m4a,./pochettes/367_Eye_of_the_Tiger_Survivor.jpg
2026-01-12,2001-08-13,Chop Suey!,System of a Down,2,Moyen,./fichiers_audio/368_Chop_Suey_System_of_a_Down.m4a,./pochettes/368_Chop_Suey_System_of_a_Down.jpg
2026-01-12,2023-01-23,Kill Bill,SZA,3,Facile,./fichiers_audio/369_Kill_Bill_SZA.m4a,./pochettes/369_Kill_Bill_SZA.jpg
2026-01-12,2012-01-30,Le Sens de la vie,Tal,1,Moyen,./fichiers_audio/370_Le_Sens_de_la_vie_Tal.m4a,./pochettes/370_Le_Sens_de_la_vie_Tal.jpg
2026-01-12,2014-08-18,Shake It Off,Taylor Swift,1,Facile,./fichiers_audio/371_Shake_It_Off_Taylor_Swift.m4a,./pochettes/371_Shake_It_Off_Taylor_Swift.jpg
2026-01-12,2022-10-21,Anti-Hero,Taylor Swift,1,Facile,./fichiers_audio/372_Anti-Hero_Taylor_Swift.m4a,./pochettes/372_Anti-Hero_Taylor_Swift.jpg
2026-01-12,2019-08-23,Cruel Summer,Taylor Swift,1,Facile,./fichiers_audio/373_Cruel_Summer_Taylor_Swift.m4a,./pochettes/373_Cruel_Summer_Taylor_Swift.jpg
2026-01-12,1964-06-19,The House of the Rising Sun,The Animals,2,Facile,./fichiers_audio/374_The_House_of_the_Rising_Sun_The_Animals.m4a,./pochettes/374_The_House_of_the_Rising_Sun_The_Animals.jpg
2026-01-12,1989-01-23,Eternal Flame,The Bangles,1,Moyen,./fichiers_audio/375_Eternal_Flame_The_Bangles.m4a,./pochettes/375_Eternal_Flame_The_Bangles.jpg
2026-01-12,1966-10-10,Good Vibrations,The Beach Boys,1,Moyen,./fichiers_audio/376_Good_Vibrations_The_Beach_Boys.m4a,./pochettes/376_Good_Vibrations_The_Beach_Boys.jpg
2026-01-12,1962-10-05,Love Me Do,The Beatles,2,Facile,./fichiers_audio/377_Love_Me_Do_The_Beatles.m4a,./pochettes/377_Love_Me_Do_The_Beatles.jpg
2026-01-12,1968-08-26,Hey Jude,The Beatles,2,Facile,./fichiers_audio/378_Hey_Jude_The_Beatles.m4a,./pochettes/378_Hey_Jude_The_Beatles.jpg
2026-01-12,1970-05-08,Let It Be,The Beatles,2,Facile,./fichiers_audio/379_Let_It_Be_The_Beatles.m4a,./pochettes/379_Let_It_Be_The_Beatles.jpg
2026-01-12,2009-08-13,I Gotta Feeling,The Black Eyed Peas,1,Facile,./fichiers_audio/380_I_Gotta_Feeling_The_Black_Eyed_Peas.m4a,./pochettes/380_I_Gotta_Feeling_The_Black_Eyed_Peas.jpg
2026-01-12,1979-09-07,Video Killed the Radio Star,The Buggles,1,Facile,./fichiers_audio/381_Video_Killed_the_Radio_Star_The_Buggles.m4a,./pochettes/381_Video_Killed_the_Radio_Star_The_Buggles.jpg
2026-01-12,2016-07-29,Closer,The Chainsmokers,4,Facile,./fichiers_audio/382_Closer_The_Chainsmokers.m4a,./pochettes/382_Closer_The_Chainsmokers.jpg
2026-01-12,1994-09-19,Zombie,The Cranberries,2,Moyen,./fichiers_audio/383_Zombie_The_Cranberries.m4a,./pochettes/383_Zombie_The_Cranberries.jpg
2026-01-12,1967-01-04,Light My Fire,The Doors,2,Facile,./fichiers_audio/384_Light_My_Fire_The_Doors.m4a,./pochettes/384_Light_My_Fire_The_Doors.jpg
2026-01-12,1973-08-01,Killing Me Softly,Roberta Flack,3,Facile,./fichiers_audio/385_Killing_Me_Softly_Roberta_Flack.m4a,./pochettes/385_Killing_Me_Softly_Roberta_Flack.jpg
